seller_id,seller_name,seller_city,seller_state,seller_rating,registration_date,seller_status
SELL00041,Sarraf-Aggarwal,Kolkata,West Bengal,4.63,2021-05-12 06:35:59.565452,Active
SELL00042,Narang-Thakkar,Patna,Rajasthan,2.96,2021-05-13 06:35:59.565452,Active
SELL00043,Misra Inc,Lucknow,Kerala,1.02,2021-05-14 06:35:59.565452,Inactive
SELL00044,Mitra-Bandi,Kochi,Tamil Nadu,2.36,2021-05-15 06:35:59.565452,Inactive
SELL00045,Bora-Sethi,Chennai,Tamil Nadu,4.11,2021-05-16 06:35:59.565452,Active
SELL00046,"Raghavan, Handa and Som",Mumbai,Delhi,1.92,2021-05-17 06:35:59.565452,Inactive
SELL00047,De PLC,Nagpur,Haryana,3.31,2021-05-18 06:35:59.565452,Active
SELL00048,Garg-Peri,Kochi,Punjab,4.68,2021-05-19 06:35:59.565452,Banned
SELL00049,"Hari, Maharaj and Kothari",Noida,Gujarat,3.15,2021-05-20 06:35:59.565452,Banned
SELL00050,Warrior Group,Nagpur,Andhra Pradesh,3.47,2021-05-21 06:35:59.565452,Active
SELL00051,Agarwal-Mammen,Nagpur,Uttar Pradesh,4.91,2021-05-22 06:35:59.565452,Inactive
SELL00052,"Sem, Roy and Kar",Delhi,Tamil Nadu,1.41,2021-05-23 06:35:59.565452,Active
SELL00053,Shetty Group,Nagpur,Punjab,1.97,2021-05-24 06:35:59.565452,Banned
SELL00054,Bandi-Om,Noida,Delhi,2.09,2021-05-25 06:35:59.565452,Active
SELL00055,"Handa, Bhargava and Manda",Kochi,Telangana,2.04,2021-05-26 06:35:59.565452,Inactive
SELL00056,"Anne, Dora and Sibal",Nagpur,Karnataka,4.51,2021-05-27 06:35:59.565452,Banned
SELL00057,"Sunder, Rastogi and Chatterjee",Noida,West Bengal,2.07,2021-05-28 06:35:59.565452,Active
SELL00058,Puri LLC,Lucknow,Bihar,3.27,2021-05-29 06:35:59.565452,Banned
SELL00059,Walia-Lad,Kochi,Uttar Pradesh,10.0,2021-05-30 06:35:59.565452,Banned
SELL00060,Saran-Pingle,Nagpur,Madhya Pradesh,1.33,2021-05-31 06:35:59.565452,Active
SELL00061,Sood and Sons,Ahmedabad,Haryana,6.0,2021-06-01 06:35:59.565452,Active
SELL00062,Banik Inc,Mumbai,Bihar,,2021-06-02 06:35:59.565452,Banned
SELL00063,Parekh Inc,Hyderabad,Madhya Pradesh,3.84,2021-06-03 06:35:59.565452,Inactive
SELL00064,"Soman, Bhatt and Parekh",Delhi,Rajasthan,2.55,2021-06-04 06:35:59.565452,Active
SELL00065,"Dhingra, Ravel and Patla",Bengaluru,Odisha,1.27,2021-06-05 06:35:59.565452,Active
SELL00066,Contractor-Wadhwa,Nagpur,Punjab,1.36,2021-06-06 06:35:59.565452,Banned
SELL00067,Desai-Date,Noida,Andhra Pradesh,4.04,2021-06-07 06:35:59.565452,Inactive
SELL00068,Nayar-Kara,Hyderabad,Uttar Pradesh,1.29,2021-06-08 06:35:59.565452,Inactive
SELL00069,Singhal and Sons,Hyderabad,Gujarat,4.44,2021-06-09 06:35:59.565452,Inactive
SELL00070,"Parmar, Srivastava and Dugar",Surat,Gujarat,1.04,2021-06-10 06:35:59.565452,Active
SELL00071,"Thaman, Singhal and Kanda",Indore,Uttar Pradesh,1.05,2021-06-11 06:35:59.565452,Inactive
SELL00072,Sankaran Group,Lucknow,Madhya Pradesh,1.19,2021-06-12 06:35:59.565452,Banned
SELL00073,Gour-Golla,Visakhapatnam,Uttar Pradesh,1.25,2021-06-13 06:35:59.565452,Active
SELL00074,Merchant-Upadhyay,Kochi,Kerala,1.66,2021-06-14 06:35:59.565452,Active
SELL00075,Parekh Ltd,Nagpur,Maharashtra,1.33,2021-06-15 06:35:59.565452,Active
SELL00076,Gokhale Group,Indore,Gujarat,2.27,2021-06-16 06:35:59.565452,Inactive
SELL00077,Basak-Pant,Chandigarh,Rajasthan,4.77,2021-06-17 06:35:59.565452,Active
SELL00078,"Anand, Saha and Shetty",Hyderabad,Uttar Pradesh,1.97,2021-06-18 06:35:59.565452,Inactive
SELL00079,"Mital, Garde and Lad",Noida,Delhi,1.37,2021-06-19 06:35:59.565452,Banned
SELL00080,Sheth Group,Ahmedabad,Gujarat,1.15,2021-06-20 06:35:59.565452,Active
SELL00081,Maharaj Group,Ahmedabad,Rajasthan,3.11,2021-06-21 06:35:59.565452,Inactive
SELL00082,"Wadhwa, Nigam and Ratta",Kochi,Rajasthan,4.93,2021-06-22 06:35:59.565452,Inactive
SELL00083,Mahal and Sons,Ahmedabad,Tamil Nadu,1.37,2021-06-23 06:35:59.565452,Active
SELL00084,Mannan LLC,Nagpur,Tamil Nadu,2.65,2021-06-24 06:35:59.565452,Inactive
SELL00085,"Sani, Zachariah and Mitra",Lucknow,West Bengal,1.46,2021-06-25 06:35:59.565452,Active
SELL00086,Prabhu Ltd,Surat,Kerala,3.14,2021-06-26 06:35:59.565452,Active
SELL00087,"Choudhry, Krishnamurthy and Atwal",Jaipur,Uttar Pradesh,3.08,2021-06-27 06:35:59.565452,Banned
SELL00088,Sankar Inc,Nagpur,Gujarat,1.7,2021-06-28 06:35:59.565452,Active
SELL00089,Gokhale-Barad,Chennai,Punjab,4.92,2021-06-29 06:35:59.565452,Inactive
SELL00090,"Borde, Sane and Tata",Bengaluru,Punjab,1.42,2021-06-30 06:35:59.565452,Banned
SELL00091,Sarraf Inc,Lucknow,Gujarat,1.8,2021-07-01 06:35:59.565452,Banned
SELL00092,Bhat Group,Bhopal,Rajasthan,2.38,2021-07-02 06:35:59.565452,Inactive
SELL00093,Chopra Group,Jaipur,Telangana,3.93,2021-07-03 06:35:59.565452,Inactive
SELL00094,"Chandran, Sarma and Bhatia",Lucknow,Gujarat,3.64,2021-07-04 06:35:59.565452,Inactive
SELL00095,Choudhry Group,Chandigarh,Karnataka,4.18,2021-07-05 06:35:59.565452,Active
SELL00096,"Sharaf, Nori and Ganesh",Jaipur,Andhra Pradesh,1.96,2021-07-06 06:35:59.565452,Inactive
SELL00097,"Chaudhry, Krishnamurthy and Nanda",Patna,Bihar,2.05,2021-07-07 06:35:59.565452,Banned
SELL00098,"Vig, Hayre and Nagi",Mumbai,Madhya Pradesh,3.56,2021-07-08 06:35:59.565452,Active
SELL00099,"Chand, Barad and Kaur",Chandigarh,Gujarat,4.65,2021-07-09 06:35:59.565452,Active
SELL00100,"Sunder, Balasubramanian and Gara",Nagpur,Haryana,3.91,2021-07-10 06:35:59.565452,Banned
SELL00101,"Nair, Sheth and Behl",Bengaluru,West Bengal,1.95,2021-07-11 06:35:59.565452,Banned
SELL00102,Sem LLC,Patna,Uttar Pradesh,4.92,2021-07-12 06:35:59.565452,Active
SELL00103,"Setty, Shah and Walla",Chennai,Madhya Pradesh,2.95,2021-07-13 06:35:59.565452,Banned
SELL00104,"Desai, Ramesh and Krishna",Bengaluru,Maharashtra,2.14,2021-07-14 06:35:59.565452,Active
SELL00105,"Kapadia, Nagar and Iyer",Delhi,Maharashtra,3.95,2021-07-15 06:35:59.565452,Banned
SELL00106,Biswas-Dani,Pune,West Bengal,4.76,2021-07-16 06:35:59.565452,Active
SELL00107,"Badal, Bora and Apte",Kochi,Kerala,4.28,2021-07-17 06:35:59.565452,Inactive
SELL00108,"Gera, Gulati and Sen",Noida,West Bengal,0.0,2021-07-18 06:35:59.565452,Active
SELL00109,Bir-Gopal,Surat,Punjab,4.61,2021-07-19 06:35:59.565452,Banned
SELL00110,Loke Group,Lucknow,Haryana,10.0,2021-07-20 06:35:59.565452,Inactive
SELL00111,Chaudhary-Pillai,Bengaluru,Karnataka,4.86,2021-07-21 06:35:59.565452,Active
SELL00112,"Seth, Bawa and Barman",Noida,Punjab,1.42,2021-07-22 06:35:59.565452,Banned
SELL00113,Lata Inc,Mumbai,Delhi,1.35,2021-07-23 06:35:59.565452,Active
SELL00114,Naik and Sons,Delhi,Andhra Pradesh,2.46,2021-07-24 06:35:59.565452,Banned
SELL00115,Vasa Group,Kochi,Delhi,4.29,2021-07-25 06:35:59.565452,Active
SELL00116,Sanghvi PLC,Lucknow,Gujarat,1.79,2021-07-26 06:35:59.565452,Active
SELL00117,Kala-Saxena,Kolkata,Haryana,2.65,2021-07-27 06:35:59.565452,Active
SELL00118,Kata LLC,Noida,Odisha,4.2,2021-07-28 06:35:59.565452,Banned
SELL00119,Barman-Chaudhry,Ahmedabad,Rajasthan,4.46,2021-07-29 06:35:59.565452,Banned
SELL00120,Gole-Sarraf,Bengaluru,Odisha,1.97,2021-07-30 06:35:59.565452,Inactive
SELL00121,"Parsa, Varma and Parmar",Pune,Uttar Pradesh,0.0,2021-07-31 06:35:59.565452,Inactive
SELL00122,"Palla, Shroff and Chhabra",Indore,Delhi,4.18,2021-08-01 06:35:59.565452,Banned
SELL00123,Krishnan Ltd,Delhi,Bihar,1.8,2021-08-02 06:35:59.565452,Active
SELL00124,Bahri Group,Jaipur,Andhra Pradesh,1.15,2021-08-03 06:35:59.565452,Banned
SELL00125,Bandi PLC,Mumbai,Andhra Pradesh,2.62,2021-08-04 06:35:59.565452,Banned
SELL00126,Bumb-Kuruvilla,Delhi,Tamil Nadu,1.5,2021-08-05 06:35:59.565452,Banned
SELL00127,Sachdev Group,Mumbai,Andhra Pradesh,2.85,2021-08-06 06:35:59.565452,Inactive
SELL00128,Shan-Om,Visakhapatnam,Maharashtra,1.78,2021-08-07 06:35:59.565452,Active
SELL00129,Natarajan LLC,Noida,Bihar,2.06,2021-08-08 06:35:59.565452,Active
SELL00130,Narula-Mahal,Vadodara,Rajasthan,1.82,2021-08-09 06:35:59.565452,Banned
SELL00131,Kant and Sons,Chandigarh,West Bengal,2.18,2021-08-10 06:35:59.565452,Inactive
SELL00132,"Chadha, Apte and Khare",Surat,Tamil Nadu,3.04,2021-08-11 06:35:59.565452,Banned
SELL00133,"Das, Cheema and Devan",Lucknow,Madhya Pradesh,,2021-08-12 06:35:59.565452,Inactive
SELL00134,Kakar-Chopra,Delhi,Odisha,3.38,2021-08-13 06:35:59.565452,Inactive
SELL00135,Jaggi Group,Jaipur,West Bengal,4.06,2021-08-14 06:35:59.565452,Inactive
SELL00136,Buch PLC,Noida,Kerala,2.69,2021-08-15 06:35:59.565452,Inactive
SELL00137,Hayre and Sons,Kolkata,Madhya Pradesh,1.27,2021-08-16 06:35:59.565452,Active
SELL00138,Upadhyay-Chaudhry,Noida,Haryana,,2021-08-17 06:35:59.565452,Active
SELL00139,"Kapadia, Palla and Lall",Patna,Karnataka,3.84,2021-08-18 06:35:59.565452,Banned
SELL00140,"Gokhale, Natarajan and Sarma",Kochi,Kerala,2.14,2021-08-19 06:35:59.565452,Inactive
SELL00141,Karan and Sons,Surat,Maharashtra,3.09,2021-08-20 06:35:59.565452,Active
SELL00142,"Biswas, Chaudhuri and Jain",Noida,Maharashtra,1.33,2021-08-21 06:35:59.565452,Inactive
SELL00143,Mangal PLC,Lucknow,Haryana,4.11,2021-08-22 06:35:59.565452,Inactive
SELL00144,Kumar PLC,Patna,Uttar Pradesh,3.0,2021-08-23 06:35:59.565452,Active
SELL00145,Savant-Chauhan,Bengaluru,Madhya Pradesh,3.5,2021-08-24 06:35:59.565452,Active
SELL00146,"Rege, Biswas and Tata",Bhopal,Odisha,2.3,2021-08-25 06:35:59.565452,Active
SELL00147,Dhar Inc,Jaipur,Delhi,1.99,2021-08-26 06:35:59.565452,Active
SELL00148,Bandi LLC,Delhi,Madhya Pradesh,4.51,2021-08-27 06:35:59.565452,Active
SELL00149,Varma LLC,Vadodara,Madhya Pradesh,,2021-08-28 06:35:59.565452,Banned
SELL00150,Nagi-Gade,Surat,Maharashtra,4.5,2021-08-29 06:35:59.565452,Inactive
SELL00151,"Palla, Dass and Shukla",Patna,Bihar,3.56,2021-08-30 06:35:59.565452,Active
SELL00152,Kala Group,Hyderabad,Kerala,3.76,2021-08-31 06:35:59.565452,Inactive
SELL00153,Sami Inc,Kolkata,Haryana,4.93,2021-09-01 06:35:59.565452,Inactive
SELL00154,Khurana Inc,Lucknow,Kerala,1.04,2021-09-02 06:35:59.565452,Inactive
SELL00155,Kunda PLC,Vadodara,Maharashtra,,2021-09-03 06:35:59.565452,Active
SELL00156,Sabharwal Ltd,Nagpur,Maharashtra,4.61,2021-09-04 06:35:59.565452,Banned
SELL00157,Chaudry-Gera,Nagpur,Gujarat,4.62,2021-09-05 06:35:59.565452,Active
SELL00158,Bobal LLC,Bengaluru,Uttar Pradesh,1.02,2021-09-06 06:35:59.565452,Inactive
SELL00159,"Batta, Anne and Padmanabhan",Chandigarh,Karnataka,4.73,2021-09-07 06:35:59.565452,Active
SELL00160,Tak Inc,Noida,Uttar Pradesh,2.09,2021-09-08 06:35:59.565452,Active
SELL00161,"D’Alia, Memon and Sani",Indore,Karnataka,2.6,2021-09-09 06:35:59.565452,Active
SELL00162,"Dhaliwal, Boase and Lata",Bhopal,Tamil Nadu,1.03,2021-09-10 06:35:59.565452,Active
SELL00163,"Jani, Chowdhury and Mann",Indore,Haryana,2.63,2021-09-11 06:35:59.565452,Banned
SELL00164,"Zachariah, Sha and Srinivas",Chennai,Maharashtra,4.83,2021-09-12 06:35:59.565452,Banned
SELL00165,"Dave, Gulati and Bali",Bengaluru,Kerala,3.51,2021-09-13 06:35:59.565452,Banned
SELL00166,Borra Ltd,Visakhapatnam,Andhra Pradesh,4.62,2021-09-14 06:35:59.565452,Inactive
SELL00167,Nagarajan LLC,Kolkata,Maharashtra,1.9,2021-09-15 06:35:59.565452,Active
SELL00168,Boase LLC,Mumbai,Andhra Pradesh,1.63,2021-09-16 06:35:59.565452,Banned
SELL00169,Gulati and Sons,Chennai,Punjab,4.22,2021-09-17 06:35:59.565452,Banned
SELL00170,"Saxena, Ravel and Mahajan",Nagpur,Haryana,3.66,2021-09-18 06:35:59.565452,Banned
SELL00171,Doctor-Raman,Kochi,Odisha,1.12,2021-09-19 06:35:59.565452,Inactive
SELL00172,"Dhar, Hayre and Bains",Kochi,Tamil Nadu,3.48,2021-09-20 06:35:59.565452,Inactive
SELL00173,Zachariah-Uppal,Delhi,Haryana,4.81,2021-09-21 06:35:59.565452,Inactive
SELL00174,Thaker-Murthy,Ahmedabad,Haryana,3.93,2021-09-22 06:35:59.565452,Active
SELL00175,Bala-Chhabra,Noida,Tamil Nadu,1.44,2021-09-23 06:35:59.565452,Banned
SELL00176,"Saha, Chanda and Taneja",Kolkata,Bihar,1.67,2021-09-24 06:35:59.565452,Inactive
SELL00177,"Joshi, Madan and Om",Nagpur,Tamil Nadu,1.03,2021-09-25 06:35:59.565452,Active
SELL00178,"Sood, Chawla and Sachdeva",Visakhapatnam,Uttar Pradesh,2.85,2021-09-26 06:35:59.565452,Inactive
SELL00179,"Dixit, Nayak and Sahni",Kolkata,Madhya Pradesh,4.88,2021-09-27 06:35:59.565452,Banned
SELL00180,"Rai, Warrior and Nadkarni",Hyderabad,Karnataka,4.41,2021-09-28 06:35:59.565452,Active
SELL00181,Setty PLC,Kochi,Uttar Pradesh,2.01,2021-09-29 06:35:59.565452,Active
SELL00182,Aurora-Toor,Ahmedabad,Bihar,4.23,2021-09-30 06:35:59.565452,Banned
SELL00183,Kohli PLC,Noida,Madhya Pradesh,2.69,2021-10-01 06:35:59.565452,Inactive
SELL00184,"Bassi, Gade and Deo",Chandigarh,Punjab,3.89,2021-10-02 06:35:59.565452,Inactive
SELL00185,"Dhar, Chaudry and Desai",Kochi,Delhi,2.53,2021-10-03 06:35:59.565452,Banned
SELL00186,"Varma, Rout and Khosla",Visakhapatnam,Kerala,2.35,2021-10-04 06:35:59.565452,Banned
SELL00187,"Kata, Dash and Dar",Bengaluru,Gujarat,1.35,2021-10-05 06:35:59.565452,Active
SELL00188,"Sood, Biswas and Dubey",Chennai,Tamil Nadu,2.79,2021-10-06 06:35:59.565452,Banned
SELL00189,Kumar Ltd,Mumbai,Bihar,2.93,2021-10-07 06:35:59.565452,Active
SELL00190,Mitter Ltd,Chandigarh,West Bengal,1.22,2021-10-08 06:35:59.565452,Active
SELL00191,Dyal Inc,Lucknow,Telangana,3.0,2021-10-09 06:35:59.565452,Banned
SELL00192,Oommen Inc,Pune,Gujarat,,2021-10-10 06:35:59.565452,Banned
SELL00193,"Tiwari, Sahni and Kulkarni",Delhi,Andhra Pradesh,4.96,2021-10-11 06:35:59.565452,Inactive
SELL00194,Dua-Upadhyay,Delhi,Kerala,3.54,2021-10-12 06:35:59.565452,Inactive
SELL00195,Tara-Radhakrishnan,Nagpur,West Bengal,1.82,2021-10-13 06:35:59.565452,Inactive
SELL00196,Shenoy-Char,Nagpur,Kerala,4.57,2021-10-14 06:35:59.565452,Inactive
SELL00197,"Agrawal, Rajan and Venkataraman",Chandigarh,Punjab,4.67,2021-10-15 06:35:59.565452,Banned
SELL00198,Soman Group,Chennai,Karnataka,3.46,2021-10-16 06:35:59.565452,Banned
SELL00199,Wali-Bhavsar,Noida,Bihar,2.06,2021-10-17 06:35:59.565452,Banned
SELL00200,Ganesh-Mittal,Surat,Maharashtra,3.78,2021-10-18 06:35:59.565452,Inactive
SELL00201,Ahuja-Golla,Hyderabad,Andhra Pradesh,1.06,2021-10-19 06:35:59.565452,Active
SELL00202,"Vig, Chawla and Pant",Chennai,Telangana,2.36,2021-10-20 06:35:59.565452,Active
SELL00203,Murthy PLC,Chandigarh,Andhra Pradesh,4.59,2021-10-21 06:35:59.565452,Banned
SELL00204,Chada Ltd,Nagpur,Telangana,4.95,2021-10-22 06:35:59.565452,Banned
SELL00205,Deep-Kashyap,Hyderabad,Kerala,1.95,2021-10-23 06:35:59.565452,Inactive
SELL00206,"Anand, Gala and Pau",Surat,Bihar,3.85,2021-10-24 06:35:59.565452,Active
SELL00207,Panchal PLC,Bengaluru,Delhi,4.75,2021-10-25 06:35:59.565452,Active
SELL00208,"Sant, Sachdeva and Kashyap",Pune,Uttar Pradesh,1.22,2021-10-26 06:35:59.565452,Active
SELL00209,"Som, Wason and Warrior",Bengaluru,Uttar Pradesh,1.96,2021-10-27 06:35:59.565452,Active
SELL00210,Dhaliwal Group,Pune,Odisha,1.43,2021-10-28 06:35:59.565452,Banned
SELL00211,"Suresh, Menon and Hegde",Patna,Odisha,4.37,2021-10-29 06:35:59.565452,Banned
SELL00212,Basu-Das,Bhopal,Gujarat,1.93,2021-10-30 06:35:59.565452,Active
SELL00213,Chada-Malhotra,Jaipur,Gujarat,3.14,2021-10-31 06:35:59.565452,Inactive
SELL00214,Shah-Tella,Surat,Rajasthan,4.49,2021-11-01 06:35:59.565452,Inactive
SELL00215,Prabhu-Shere,Delhi,Delhi,3.77,2021-11-02 06:35:59.565452,Inactive
SELL00216,Gopal Ltd,Patna,Gujarat,3.65,2021-11-03 06:35:59.565452,Banned
SELL00217,"Minhas, Pau and Kala",Mumbai,Haryana,3.81,2021-11-04 06:35:59.565452,Active
SELL00218,"Shankar, Ahluwalia and Brar",Bhopal,Kerala,4.72,2021-11-05 06:35:59.565452,Active
SELL00219,Singh-Chad,Bengaluru,Maharashtra,-1.0,2021-11-06 06:35:59.565452,Banned
SELL00220,"Hans, Doctor and Jha",Delhi,Gujarat,1.72,2021-11-07 06:35:59.565452,Banned
SELL00221,"Pillay, Chauhan and Bedi",Surat,Punjab,1.32,2021-11-08 06:35:59.565452,Active
SELL00222,Issac Group,Patna,Haryana,4.73,2021-11-09 06:35:59.565452,Inactive
SELL00223,Khalsa and Sons,Bhopal,Tamil Nadu,2.79,2021-11-10 06:35:59.565452,Inactive
SELL00224,Chadha LLC,Ahmedabad,Odisha,1.5,2021-11-11 06:35:59.565452,Active
SELL00225,Narasimhan-Loke,Nagpur,Gujarat,3.38,2021-11-12 06:35:59.565452,Inactive
SELL00226,Thakkar PLC,Hyderabad,Madhya Pradesh,4.23,2021-11-13 06:35:59.565452,Active
SELL00227,"Sane, Gara and Varty",Vadodara,Andhra Pradesh,1.52,2021-11-14 06:35:59.565452,Banned
SELL00228,"Pradhan, Amble and Gupta",Surat,Haryana,4.82,2021-11-15 06:35:59.565452,Active
SELL00229,Bhatti Ltd,Vadodara,Tamil Nadu,2.5,2021-11-16 06:35:59.565452,Active
SELL00230,"Roy, Kohli and Puri",Delhi,Bihar,2.13,2021-11-17 06:35:59.565452,Inactive
SELL00231,Rajagopalan PLC,Noida,Andhra Pradesh,3.61,2021-11-18 06:35:59.565452,Banned
SELL00232,Bhattacharyya-Agarwal,Delhi,Tamil Nadu,,2021-11-19 06:35:59.565452,Inactive
SELL00233,Murty-Edwin,Noida,Bihar,2.76,2021-11-20 06:35:59.565452,Active
SELL00234,"Bhat, Rana and Anne",Patna,Delhi,1.96,2021-11-21 06:35:59.565452,Banned
SELL00235,Chokshi LLC,Hyderabad,Madhya Pradesh,1.23,2021-11-22 06:35:59.565452,Inactive
SELL00236,Chada-Krishna,Lucknow,Telangana,1.71,2021-11-23 06:35:59.565452,Inactive
SELL00237,"Chandran, Patla and Rajagopalan",Surat,Maharashtra,4.11,2021-11-24 06:35:59.565452,Banned
SELL00238,Narula LLC,Ahmedabad,Gujarat,,2021-11-25 06:35:59.565452,Active
SELL00239,Saraf-Sachdeva,Bengaluru,Tamil Nadu,1.41,2021-11-26 06:35:59.565452,Active
SELL00240,Wable Ltd,Bengaluru,Telangana,3.19,2021-11-27 06:35:59.565452,Active
SELL00241,Hans PLC,Bhopal,Odisha,,2021-11-28 06:35:59.565452,Active
SELL00242,Nadkarni-Palla,Jaipur,Madhya Pradesh,4.68,2021-11-29 06:35:59.565452,Inactive
SELL00243,Puri Ltd,Ahmedabad,Uttar Pradesh,2.32,2021-11-30 06:35:59.565452,Active
SELL00244,Bajwa-Rao,Kolkata,West Bengal,4.25,2021-12-01 06:35:59.565452,Active
SELL00245,Babu-Sachdev,Chennai,Kerala,4.91,2021-12-02 06:35:59.565452,Inactive
SELL00246,Taneja Group,Ahmedabad,Punjab,4.75,2021-12-03 06:35:59.565452,Inactive
SELL00247,Dara PLC,Delhi,Rajasthan,4.98,2021-12-04 06:35:59.565452,Active
SELL00248,Dasgupta-Virk,Pune,Gujarat,2.12,2021-12-05 06:35:59.565452,Inactive
SELL00249,"Lanka, Narula and Kanda",Noida,Gujarat,2.8,2021-12-06 06:35:59.565452,Active
SELL00250,Patla-Nair,Hyderabad,West Bengal,3.88,2021-12-07 06:35:59.565452,Active
SELL00251,Dubey-Ganesh,Noida,Maharashtra,4.31,2021-12-08 06:35:59.565452,Active
SELL00252,"Mannan, Keer and Raval",Lucknow,Andhra Pradesh,2.25,2021-12-09 06:35:59.565452,Active
SELL00253,Chandran-Memon,Jaipur,Gujarat,3.13,2021-12-10 06:35:59.565452,Inactive
SELL00254,Kumer-Sandal,Hyderabad,Tamil Nadu,2.96,2021-12-11 06:35:59.565452,Inactive
SELL00255,Gaba PLC,Mumbai,Telangana,3.94,2021-12-12 06:35:59.565452,Active
SELL00256,Mukherjee LLC,Visakhapatnam,Madhya Pradesh,3.56,2021-12-13 06:35:59.565452,Inactive
SELL00257,Ravi PLC,Kochi,Andhra Pradesh,2.0,2021-12-14 06:35:59.565452,Inactive
SELL00258,"Walia, Rastogi and Kamdar",Hyderabad,Karnataka,2.7,2021-12-15 06:35:59.565452,Banned
SELL00259,Rajagopal LLC,Indore,Odisha,4.45,2021-12-16 06:35:59.565452,Active
SELL00260,Mammen-Grover,Visakhapatnam,Delhi,3.96,2021-12-17 06:35:59.565452,Inactive
