product_id,product_name,category,sub_category,brand,unit_cost,list_price,stock_quantity,product_status
PROD0000023,quibusdam iure,Grocery,Snacks,Xiaomi,378.18,1056.84,4565,Active
PROD0000024,deserunt quisquam,Grocery,Fruits,Apple,1032.46,4898.25,3662,Inactive
PROD0000025,officia velit,Beauty,Haircare,Sony,1922.55,4765.39,390,Inactive
PROD0000026,ab inventore,Grocery,Dairy,Apple,1351.97,3026.8,2914,Discontinued
PROD0000027,quibusdam ab,Grocery,Vegetables,Generic,760.96,1686.93,2315,Active
PROD0000028,itaque tempore,Beauty,Makeup,Generic,3415.43,8842.18,3238,Active
PROD0000029,iste odio,Sports,Equipment,,423.49,562.58,4351,Inactive
PROD0000030,dolore iure,Beauty,Makeup,Generic,300.08,3387.16,1039,Discontinued
PROD0000031,repellendus occaecati,Electronics,Accessories,,618.16,2856.9,1712,Inactive
PROD0000032,enim repudiandae,Beauty,Makeup,Generic,4950.1,2658.18,922,Discontinued
PROD0000033,maiores alias,Sports,Equipment,Apple,2696.97,6231.49,4266,Active
PROD0000034,expedita veniam,Beauty,Makeup,OnePlus,939.83,3588.2,1480,Active
PROD0000035,repellendus earum,Sports,Footwear,,2828.04,3582.68,4666,Inactive
PROD0000036,sunt asperiores,Fashion,Women,Apple,1239.14,4048.25,478,Discontinued
PROD0000037,ipsa quidem,Electronics,Laptops,Samsung,1369.83,8471.31,145,Discontinued
PROD0000038,quia pariatur,Home & Kitchen,Decor,,1274.02,3978.01,3409,Active
PROD0000039,eveniet impedit,Grocery,Fruits,Samsung,3509.08,4274.47,3326,Active
PROD0000040,earum ea,Grocery,Dairy,Apple,3490.33,1896.55,4725,Discontinued
PROD0000041,voluptas suscipit,Grocery,Snacks,OnePlus,3559.03,4489.8,4384,Discontinued
PROD0000042,recusandae recusandae,Electronics,Mobiles,Generic,4699.94,1943.76,1570,Discontinued
PROD0000043,repudiandae iure,Fashion,Shoes,LG,1020.39,4956.11,4824,Active
PROD0000044,possimus minus,Sports,Apparel,Sony,2551.55,1380.77,4068,Inactive
PROD0000045,at aliquid,Fashion,Men,Xiaomi,4895.97,542.99,4135,Active
PROD0000046,iusto ad,Electronics,Laptops,Samsung,3358.15,9937.74,511,Discontinued
PROD0000047,explicabo soluta,Beauty,Skincare,Samsung,2623.86,2540.81,47,Inactive
PROD0000048,modi facilis,Electronics,Accessories,Samsung,1402.72,3531.57,3130,Active
PROD0000049,reprehenderit cupiditate,Electronics,Mobiles,OnePlus,2369.75,3262.61,3606,Discontinued
PROD0000050,illum distinctio,Sports,Footwear,,2911.99,8094.06,2764,Discontinued
PROD0000051,fuga consectetur,Beauty,Haircare,,93.76,4091.91,380,Discontinued
PROD0000052,magni eveniet,Electronics,Laptops,Apple,3154.51,-100.0,1687,Active
PROD0000053,aut autem,Beauty,Skincare,LG,3303.79,8151.48,1734,Discontinued
PROD0000054,sint adipisci,Sports,Apparel,Generic,452.33,5050.52,2108,Inactive
PROD0000055,quas debitis,Home & Kitchen,Appliances,Samsung,2086.87,4456.6,874,Inactive
PROD0000056,laudantium earum,Grocery,Fruits,,2308.44,5561.0,1786,Discontinued
PROD0000057,dolorum autem,Home & Kitchen,Cookware,OnePlus,3758.33,5084.08,1821,Inactive
PROD0000058,laudantium minima,Electronics,Mobiles,Sony,3763.85,3135.43,578,Discontinued
PROD0000059,qui perferendis,Fashion,Men,OnePlus,1913.54,7302.73,542,Inactive
PROD0000060,corporis veritatis,Beauty,Skincare,Sony,1694.05,8703.04,4774,Inactive
PROD0000061,rem dolore,Grocery,Dairy,Sony,504.39,8490.69,520,Discontinued
PROD0000062,ea molestias,Home & Kitchen,Appliances,Apple,1414.43,5523.13,4403,Inactive
PROD0000063,blanditiis accusantium,Fashion,Kids,OnePlus,2629.59,4031.81,4270,Active
PROD0000064,hic dolorum,Grocery,Dairy,Xiaomi,3681.63,2278.13,1080,Inactive
PROD0000065,odio perspiciatis,Beauty,Haircare,Sony,564.95,3660.56,577,Active
PROD0000066,quia optio,Grocery,Vegetables,Apple,3916.61,9467.38,3596,Active
PROD0000067,aliquid at,Grocery,Snacks,Samsung,3196.9,2956.06,463,Active
PROD0000068,facere labore,Fashion,Kids,Sony,4890.96,5949.15,3725,Discontinued
PROD0000069,quibusdam harum,Fashion,Shoes,OnePlus,2617.72,6012.01,1573,Inactive
PROD0000070,soluta natus,Electronics,Tablets,Xiaomi,66.0,2082.2,1132,Active
PROD0000071,alias quod,Fashion,Shoes,LG,1742.21,3178.95,4785,Active
PROD0000072,consequatur at,Grocery,Vegetables,Sony,2833.07,3416.94,4288,Inactive
PROD0000073,assumenda natus,Sports,Footwear,Generic,3318.69,9046.96,613,Inactive
PROD0000074,quod tempora,Fashion,Shoes,Generic,4386.92,6222.67,3903,Discontinued
PROD0000075,totam asperiores,Home & Kitchen,Decor,OnePlus,4209.66,3011.0,3495,Active
PROD0000076,accusamus quod,Fashion,Men,OnePlus,1092.48,561.97,3778,Inactive
PROD0000077,repellat iste,Beauty,Makeup,LG,1059.06,9630.0,356,Active
PROD0000078,nisi eveniet,Grocery,Dairy,OnePlus,1927.27,4247.11,3970,Active
PROD0000079,quaerat nemo,Fashion,Men,Xiaomi,2810.9,9641.54,1833,Inactive
PROD0000080,beatae ad,Sports,Footwear,Xiaomi,1911.39,9018.23,1447,Inactive
PROD0000081,velit quos,Fashion,Men,Apple,339.32,4977.6,1615,Discontinued
PROD0000082,iste quod,Electronics,Laptops,Sony,988.67,2474.54,3727,Active
PROD0000083,praesentium laudantium,Sports,Apparel,LG,1078.9,4214.83,4919,Inactive
PROD0000084,numquam dolorum,Grocery,Snacks,Apple,4417.61,6713.5,3293,Active
PROD0000085,provident dicta,Beauty,Makeup,LG,2903.61,3013.25,3455,Active
PROD0000086,excepturi nesciunt,Beauty,Haircare,Xiaomi,219.25,9248.72,3456,Inactive
PROD0000087,aliquid nostrum,Beauty,Skincare,LG,657.15,8425.84,1436,Active
PROD0000088,consectetur quas,Fashion,Shoes,Apple,4588.59,7838.34,2133,Active
PROD0000089,necessitatibus quisquam,Grocery,Dairy,OnePlus,2989.05,9758.39,382,Active
PROD0000090,saepe vel,Fashion,Shoes,Xiaomi,2868.12,1403.38,2232,Inactive
PROD0000091,sit molestias,Beauty,Makeup,Samsung,2202.26,8853.21,1511,Active
PROD0000092,illo at,Sports,Apparel,Xiaomi,2368.83,9881.38,2459,Discontinued
PROD0000093,odit ipsum,Fashion,Men,Xiaomi,3485.05,5063.55,2708,Active
PROD0000094,unde possimus,Electronics,Mobiles,OnePlus,3761.35,2006.03,4363,Active
PROD0000095,unde expedita,Grocery,Fruits,LG,1156.22,4320.46,4972,Active
PROD0000096,inventore laborum,Fashion,Shoes,Samsung,1375.97,7699.74,3656,Inactive
PROD0000097,impedit quo,Fashion,Kids,Generic,2579.53,3999.96,1371,Inactive
PROD0000098,eum fuga,Grocery,Snacks,Samsung,1628.2,282.94,1594,Inactive
PROD0000099,modi iure,Home & Kitchen,Furniture,Generic,496.49,4743.3,1617,Active
PROD0000100,facilis adipisci,Grocery,Fruits,Generic,3190.73,4456.52,3107,Active
PROD0000101,officiis tempore,Electronics,Laptops,,2982.41,6488.91,306,Inactive
PROD0000102,voluptatum maxime,Electronics,Laptops,OnePlus,1642.55,1693.75,1466,Inactive
PROD0000103,ullam ab,Sports,Footwear,LG,4389.84,469.8,3038,Active
PROD0000104,ipsum assumenda,Fashion,Shoes,,3817.48,2364.77,4266,Active
PROD0000105,ad hic,Home & Kitchen,Appliances,Sony,177.11,4123.91,1147,Inactive
PROD0000106,iure sunt,Beauty,Makeup,,4426.69,2188.99,4372,Inactive
PROD0000107,dignissimos saepe,Home & Kitchen,Decor,,2236.66,5810.72,1055,Discontinued
PROD0000108,eaque blanditiis,Beauty,Haircare,Sony,2751.66,2690.82,4459,Inactive
PROD0000109,omnis totam,Beauty,Makeup,,3810.26,376.3,3238,Inactive
PROD0000110,sed nobis,Beauty,Makeup,Generic,4812.91,4167.61,1441,Active
PROD0000111,eaque tenetur,Grocery,Fruits,Apple,680.01,6393.35,2252,Discontinued
PROD0000112,repellendus doloribus,Sports,Footwear,Sony,2371.66,1820.4,3593,Discontinued
PROD0000113,eum omnis,Electronics,Mobiles,Generic,4789.48,1322.0,2136,Inactive
PROD0000114,ipsum ullam,Electronics,Accessories,Apple,2764.35,964.42,2220,Active
PROD0000115,illo consequuntur,Grocery,Vegetables,,4266.85,9300.3,4326,Active
PROD0000116,nulla atque,Sports,Apparel,Sony,4579.84,6597.07,4735,Active
PROD0000117,ullam eligendi,Grocery,Fruits,OnePlus,2267.96,5175.57,1274,Inactive
PROD0000118,saepe alias,Beauty,Skincare,OnePlus,3246.78,1912.24,4174,Discontinued
PROD0000119,blanditiis expedita,Electronics,Accessories,Xiaomi,1073.51,3832.1,2645,Discontinued
PROD0000120,quae cumque,Electronics,Laptops,Xiaomi,408.95,7007.5,1130,Inactive
PROD0000121,dolore voluptatibus,Electronics,Laptops,,3624.14,1247.32,3639,Active
PROD0000122,unde optio,Home & Kitchen,Cookware,,4551.04,9292.09,1321,Discontinued
PROD0000123,sequi perspiciatis,Sports,Footwear,LG,3931.14,4009.86,3373,Active
PROD0000124,totam et,Fashion,Women,LG,150.15,5011.31,4195,Active
PROD0000125,illum vero,Sports,Equipment,Sony,1122.95,6429.47,184,Active
PROD0000126,ipsum eius,Beauty,Skincare,LG,1720.3,9196.62,1481,Discontinued
PROD0000127,enim earum,Home & Kitchen,Cookware,LG,1951.22,9451.03,2095,Discontinued
PROD0000128,quis ipsum,Grocery,Fruits,Sony,4252.48,6224.23,3126,Active
PROD0000129,expedita voluptates,Grocery,Fruits,Apple,4214.48,7964.85,1609,Active
PROD0000130,vel eos,Electronics,Accessories,Sony,1748.8,9091.17,2155,Discontinued
PROD0000131,quam nulla,Sports,Equipment,Samsung,2142.59,5439.4,2480,Active
PROD0000132,laboriosam rem,Fashion,Kids,Xiaomi,1165.71,6573.11,1507,Discontinued
PROD0000133,enim voluptates,Sports,Equipment,OnePlus,4124.12,1440.49,4965,Inactive
PROD0000134,voluptates tempora,Grocery,Dairy,Samsung,2485.08,4916.79,3527,Inactive
PROD0000135,explicabo sunt,Home & Kitchen,Cookware,LG,125.28,5200.64,2784,Discontinued
PROD0000136,perferendis ipsam,Fashion,Women,LG,2602.25,1259.66,3299,Inactive
PROD0000137,laborum sed,Home & Kitchen,Furniture,LG,2012.78,9288.38,2558,Discontinued
PROD0000138,ducimus cupiditate,Electronics,Laptops,OnePlus,505.07,999999.0,2679,Discontinued
PROD0000139,praesentium dolor,Fashion,Women,Xiaomi,4131.71,6575.79,77,Discontinued
PROD0000140,vel corporis,Fashion,Men,Xiaomi,474.92,3051.51,1442,Discontinued
PROD0000141,sit quia,Beauty,Skincare,Sony,1647.69,559.89,1773,Discontinued
PROD0000142,ratione autem,Fashion,Men,Xiaomi,4796.1,4175.46,1984,Discontinued
PROD0000143,quibusdam laboriosam,Sports,Footwear,,4652.58,3008.71,4308,Active
PROD0000144,repellendus hic,Fashion,Women,Generic,4911.68,3226.02,2551,Inactive
PROD0000145,animi dolorum,Grocery,Vegetables,OnePlus,3941.6,2185.99,3670,Inactive
PROD0000146,voluptates adipisci,Electronics,Accessories,Apple,3993.18,7414.77,186,Discontinued
PROD0000147,amet sapiente,Sports,Footwear,Sony,3857.84,8886.37,460,Inactive
PROD0000148,error ipsam,Beauty,Makeup,Generic,420.61,5832.59,4685,Active
PROD0000149,ipsa veniam,Sports,Apparel,Samsung,3786.34,9765.45,1559,Discontinued
PROD0000150,dolore animi,Sports,Footwear,,2322.81,4715.58,3667,Active
PROD0000151,corporis nulla,Home & Kitchen,Decor,Samsung,3241.77,7328.67,3950,Discontinued
PROD0000152,earum maiores,Grocery,Fruits,,4713.62,811.67,962,Discontinued
PROD0000153,consequuntur quibusdam,Fashion,Kids,LG,3468.44,4100.06,1690,Active
PROD0000154,cum labore,Beauty,Skincare,Apple,1074.6,1896.42,1500,Inactive
PROD0000155,id omnis,Home & Kitchen,Appliances,Xiaomi,533.97,4563.06,2324,Discontinued
PROD0000156,molestiae dolorem,Fashion,Men,LG,2045.79,9287.37,4465,Active
PROD0000157,distinctio iure,Fashion,Women,Samsung,807.66,2318.85,394,Inactive
PROD0000158,dolor ducimus,Grocery,Fruits,LG,4648.23,7543.09,4502,Discontinued
PROD0000159,omnis adipisci,Electronics,Accessories,Xiaomi,3556.41,9991.36,4736,Inactive
PROD0000160,magni debitis,Beauty,Skincare,Xiaomi,3354.52,5269.56,1645,Active
PROD0000161,ratione autem,Fashion,Women,OnePlus,956.13,4460.11,337,Active
PROD0000162,ad dicta,Home & Kitchen,Decor,Generic,1102.07,8790.67,4795,Active
PROD0000163,ea vel,Electronics,Accessories,,3249.64,3142.19,914,Discontinued
PROD0000164,blanditiis ullam,Fashion,Women,LG,1192.91,9070.21,4281,Discontinued
PROD0000165,voluptates repellendus,Electronics,Tablets,Samsung,3987.5,4369.07,1960,Discontinued
PROD0000166,tenetur assumenda,Home & Kitchen,Decor,,344.88,1795.81,1699,Active
PROD0000167,libero nemo,Home & Kitchen,Appliances,Xiaomi,3056.52,8450.53,166,Inactive
PROD0000168,amet atque,Fashion,Men,Samsung,2261.73,5260.09,4416,Inactive
PROD0000169,quasi tempora,Beauty,Makeup,Apple,2597.2,7617.26,1777,Active
PROD0000170,cumque sint,Home & Kitchen,Appliances,Samsung,226.3,293.35,1548,Discontinued
PROD0000171,et blanditiis,Beauty,Skincare,Sony,3582.21,9787.69,737,Discontinued
PROD0000172,laborum beatae,Grocery,Fruits,Apple,801.71,5345.88,770,Inactive
PROD0000173,enim voluptates,Sports,Apparel,OnePlus,160.31,8004.57,612,Inactive
PROD0000174,cumque ullam,Grocery,Snacks,Samsung,537.63,6183.02,428,Active
PROD0000175,inventore perferendis,Beauty,Makeup,Samsung,2501.14,3198.11,1026,Active
PROD0000176,natus velit,Beauty,Makeup,Apple,3672.58,2660.95,3094,Discontinued
PROD0000177,voluptas dignissimos,Fashion,Men,OnePlus,4967.46,9748.95,3907,Discontinued
PROD0000178,assumenda quasi,Electronics,Laptops,,4816.19,4016.15,3015,Discontinued
PROD0000179,ut error,Grocery,Vegetables,OnePlus,4097.59,2378.83,3100,Active
PROD0000180,magnam maxime,Home & Kitchen,Furniture,Generic,4919.14,5532.43,3166,Inactive
PROD0000181,saepe amet,Fashion,Men,Generic,4863.56,5683.23,4531,Discontinued
PROD0000182,illo laboriosam,Home & Kitchen,Cookware,Generic,4757.48,5543.23,4209,Discontinued
PROD0000183,rerum vel,Home & Kitchen,Cookware,LG,3279.27,7200.4,2808,Inactive
PROD0000184,odio impedit,Beauty,Skincare,Samsung,4602.22,793.25,673,Inactive
PROD0000185,quas odit,Home & Kitchen,Furniture,Apple,1144.19,4734.48,4463,Discontinued
PROD0000186,velit aut,Electronics,Mobiles,OnePlus,808.08,6157.77,1962,Inactive
PROD0000187,possimus praesentium,Home & Kitchen,Furniture,Samsung,1964.86,3245.66,1010,Discontinued
PROD0000188,a dolor,Sports,Apparel,Sony,1618.26,4024.55,1529,Active
PROD0000189,dicta id,Grocery,Fruits,Samsung,274.48,9584.52,410,Active
PROD0000190,accusamus architecto,Electronics,Tablets,Generic,1346.56,7978.56,4260,Active
PROD0000191,culpa impedit,Electronics,Tablets,Sony,1172.56,1018.63,3426,Inactive
PROD0000192,voluptas beatae,Sports,Equipment,Xiaomi,700.97,1720.8,353,Inactive
PROD0000193,quasi itaque,Grocery,Vegetables,OnePlus,2367.18,2687.71,4037,Active
PROD0000194,fugiat similique,Beauty,Skincare,Xiaomi,1010.07,2405.08,1979,Inactive
PROD0000195,amet accusamus,Home & Kitchen,Furniture,Apple,1601.52,2971.22,2498,Discontinued
PROD0000196,inventore iste,Grocery,Snacks,Xiaomi,4071.95,4950.44,2683,Inactive
PROD0000197,a voluptates,Fashion,Women,Xiaomi,3586.79,5345.65,3802,Discontinued
PROD0000198,laudantium reiciendis,Fashion,Shoes,Xiaomi,3046.24,9720.16,3474,Inactive
PROD0000199,iusto ad,Sports,Footwear,OnePlus,2939.37,8939.86,4395,Active
PROD0000200,dolorum ut,Electronics,Tablets,Xiaomi,1661.92,4742.46,1949,Inactive
PROD0000201,dolore omnis,Sports,Apparel,Samsung,1055.14,3229.61,2916,Active
PROD0000202,minus vitae,Electronics,Accessories,LG,2707.97,2856.8,1136,Active
PROD0000203,molestiae sunt,Electronics,Laptops,LG,1546.38,811.16,1422,Discontinued
PROD0000204,quae explicabo,Electronics,Accessories,Apple,423.38,6779.5,2304,Active
PROD0000205,commodi totam,Home & Kitchen,Appliances,Generic,4409.22,5543.07,4521,Inactive
PROD0000206,dolorem totam,Grocery,Vegetables,Xiaomi,1907.36,5498.96,2750,Active
PROD0000207,consequatur similique,Grocery,Dairy,LG,3642.28,5217.45,3149,Discontinued
PROD0000208,totam voluptatibus,Fashion,Shoes,Samsung,1787.95,7710.41,2916,Inactive
PROD0000209,excepturi saepe,Home & Kitchen,Furniture,,4392.2,9975.02,3861,Discontinued
PROD0000210,odit libero,Fashion,Men,LG,2091.78,8275.75,3524,Discontinued
PROD0000211,consectetur aut,Home & Kitchen,Decor,LG,3949.32,-100.0,4990,Inactive
PROD0000212,ea similique,Grocery,Dairy,Samsung,354.76,6184.45,778,Inactive
PROD0000213,quisquam dignissimos,Electronics,Accessories,Samsung,3309.73,4388.72,2920,Discontinued
PROD0000214,molestiae sint,Sports,Footwear,LG,3445.95,4239.18,2087,Active
PROD0000215,beatae perspiciatis,Home & Kitchen,Decor,Samsung,4031.87,6733.41,45,Inactive
PROD0000216,minima autem,Grocery,Vegetables,Generic,1756.41,2471.28,2774,Active
PROD0000217,mollitia consequatur,Electronics,Laptops,Sony,119.93,5505.21,4305,Discontinued
PROD0000218,numquam maxime,Home & Kitchen,Decor,OnePlus,413.96,6665.92,212,Inactive
PROD0000219,suscipit eum,Grocery,Vegetables,OnePlus,1183.15,2626.85,2281,Inactive
PROD0000220,odio error,Electronics,Mobiles,LG,1181.67,1306.54,4998,Discontinued
PROD0000221,magni neque,Electronics,Tablets,Sony,792.63,5224.11,4924,Inactive
PROD0000222,magni soluta,Electronics,Accessories,Sony,2977.31,1177.83,507,Active
PROD0000223,omnis impedit,Home & Kitchen,Cookware,Apple,2516.21,4212.4,3525,Discontinued
PROD0000224,repellat odio,Beauty,Skincare,OnePlus,3775.92,8057.83,1772,Inactive
PROD0000225,quia aut,Home & Kitchen,Cookware,Apple,4440.88,2197.67,40,Discontinued
PROD0000226,officiis eligendi,Beauty,Skincare,Sony,1936.42,1880.51,3698,Discontinued
PROD0000227,voluptas earum,Sports,Footwear,Generic,1982.86,6050.71,1472,Inactive
PROD0000228,tempora itaque,Sports,Equipment,,4462.54,7303.43,684,Discontinued
PROD0000229,asperiores sed,Grocery,Vegetables,Apple,2187.99,5061.57,1656,Active
PROD0000230,quas sapiente,Home & Kitchen,Furniture,Apple,2240.81,6330.99,1850,Inactive
PROD0000231,reiciendis eaque,Grocery,Fruits,LG,3118.28,8103.26,3667,Inactive
PROD0000232,ipsum quisquam,Electronics,Accessories,Apple,2055.31,6526.94,1122,Active
PROD0000233,odit ducimus,Electronics,Laptops,Samsung,772.26,9756.49,1476,Inactive
PROD0000234,harum mollitia,Electronics,Accessories,,3589.99,8064.54,2420,Discontinued
PROD0000235,perspiciatis maiores,Sports,Footwear,Sony,1609.5,5640.83,1329,Inactive
PROD0000236,nesciunt modi,Beauty,Makeup,Generic,839.74,597.88,2216,Active
PROD0000237,delectus sequi,Electronics,Mobiles,LG,4127.27,6835.72,1429,Active
PROD0000238,officiis sunt,Grocery,Vegetables,LG,4344.13,6728.49,4005,Discontinued
PROD0000239,eligendi ea,Electronics,Mobiles,Sony,2178.84,5600.09,571,Discontinued
PROD0000240,sapiente dolorum,Sports,Footwear,Sony,3883.16,8158.95,4418,Discontinued
PROD0000241,veniam asperiores,Electronics,Laptops,Generic,3913.25,450.85,37,Active
PROD0000242,commodi porro,Beauty,Makeup,Samsung,2117.2,1039.15,3865,Active
PROD0000243,dolore quaerat,Home & Kitchen,Furniture,OnePlus,4168.71,4631.07,2700,Discontinued
PROD0000244,unde nostrum,Sports,Footwear,,979.89,8918.67,4100,Inactive
PROD0000245,laborum animi,Sports,Equipment,Generic,897.16,4156.45,1622,Inactive
PROD0000246,quis reprehenderit,Fashion,Women,Xiaomi,2395.26,2265.97,3225,Active
PROD0000247,blanditiis error,Sports,Equipment,Apple,1550.72,9998.13,634,Inactive
PROD0000248,unde officiis,Sports,Footwear,Xiaomi,1213.86,6073.77,121,Inactive
PROD0000249,sequi quo,Fashion,Shoes,LG,3074.62,2120.63,2689,Discontinued
PROD0000250,consectetur libero,Sports,Equipment,Samsung,293.66,1743.07,2847,Inactive
PROD0000251,ipsum aperiam,Home & Kitchen,Decor,,1156.72,5331.47,4186,Active
PROD0000252,quasi dolor,Fashion,Men,Apple,4117.75,3353.74,3162,Active
PROD0000253,earum culpa,Home & Kitchen,Cookware,Generic,3136.65,2124.32,4716,Inactive
PROD0000254,reiciendis recusandae,Home & Kitchen,Cookware,Apple,1238.8,9249.66,2004,Active
PROD0000255,deleniti aspernatur,Sports,Apparel,Xiaomi,3258.47,1358.24,2204,Active
PROD0000256,animi vitae,Sports,Footwear,Sony,3006.34,8550.68,1041,Discontinued
PROD0000257,ipsum accusamus,Sports,Apparel,LG,4977.17,5089.4,3369,Inactive
PROD0000258,occaecati voluptatibus,Beauty,Haircare,Xiaomi,4372.46,9719.69,3124,Discontinued
PROD0000259,sint laborum,Grocery,Vegetables,Sony,3490.72,9998.12,4115,Active
PROD0000260,numquam eveniet,Fashion,Women,Samsung,3651.41,2815.03,2724,Inactive
PROD0000261,assumenda architecto,Fashion,Shoes,Samsung,162.71,2814.32,2066,Active
PROD0000262,quas totam,Sports,Apparel,,678.01,3770.76,449,Active
PROD0000263,nam suscipit,Home & Kitchen,Decor,,2163.79,7475.79,2169,Active
PROD0000264,nobis praesentium,Home & Kitchen,Decor,Generic,688.26,8251.35,3104,Inactive
PROD0000265,porro adipisci,Home & Kitchen,Appliances,Apple,3139.93,5728.13,1560,Discontinued
PROD0000266,tempora cupiditate,Fashion,Shoes,LG,3486.75,4382.36,792,Inactive
PROD0000267,vel deserunt,Sports,Equipment,Xiaomi,3488.78,5434.63,3554,Discontinued
PROD0000268,ducimus occaecati,Sports,Equipment,Samsung,71.91,2817.42,449,Active
PROD0000269,asperiores iure,Grocery,Fruits,,344.82,6005.67,1653,Active
PROD0000270,repudiandae molestias,Beauty,Makeup,Samsung,4660.78,9120.43,2633,Active
PROD0000271,inventore similique,Fashion,Women,Sony,4102.96,1713.22,1807,Active
PROD0000272,blanditiis et,Sports,Footwear,OnePlus,4653.02,1694.14,4890,Discontinued
PROD0000273,odit eveniet,Sports,Equipment,LG,2137.58,7877.44,4340,Discontinued
PROD0000274,reprehenderit ab,Fashion,Kids,Samsung,4190.67,3744.87,1375,Inactive
PROD0000275,eaque corrupti,Electronics,Laptops,,2187.18,2637.02,2889,Active
PROD0000276,debitis cumque,Electronics,Mobiles,Samsung,1058.46,1134.0,2517,Inactive
PROD0000277,animi iste,Beauty,Makeup,Samsung,1394.89,7873.46,1042,Active
PROD0000278,enim unde,Fashion,Men,Xiaomi,3812.8,3509.96,3509,Active
PROD0000279,vitae illum,Beauty,Skincare,Apple,1771.06,979.36,4643,Discontinued
PROD0000280,vel animi,Grocery,Fruits,Samsung,2076.21,836.9,2092,Active
PROD0000281,repudiandae soluta,Grocery,Dairy,,2588.89,9606.43,907,Active
PROD0000282,debitis quisquam,Fashion,Shoes,Sony,2669.44,8382.3,3112,Discontinued
PROD0000283,ipsa molestiae,Electronics,Mobiles,,3611.18,2426.57,3847,Discontinued
PROD0000284,labore laborum,Sports,Apparel,LG,1086.84,3546.61,4185,Discontinued
PROD0000285,fugit dolores,Fashion,Kids,LG,4565.03,-500.0,620,Discontinued
PROD0000286,itaque adipisci,Electronics,Mobiles,LG,1997.14,2176.37,889,Inactive
PROD0000287,perspiciatis praesentium,Home & Kitchen,Appliances,Samsung,773.67,5221.05,4690,Inactive
PROD0000288,hic repellat,Grocery,Dairy,Xiaomi,1520.53,8230.37,3705,Inactive
PROD0000289,a ipsum,Beauty,Skincare,Generic,4659.6,9141.59,1310,Active
PROD0000290,possimus nobis,Grocery,Snacks,,2494.24,2022.53,2079,Active
PROD0000291,facere laudantium,Home & Kitchen,Decor,LG,464.2,2628.22,1259,Active
PROD0000292,perspiciatis dignissimos,Home & Kitchen,Decor,Apple,398.38,968.96,325,Inactive
PROD0000293,reprehenderit pariatur,Beauty,Skincare,Sony,915.5,3528.62,3767,Active
PROD0000294,doloremque quam,Sports,Equipment,Xiaomi,937.15,8800.55,4500,Inactive
PROD0000295,assumenda deserunt,Home & Kitchen,Decor,Samsung,1656.72,1063.37,3194,Discontinued
PROD0000296,sapiente dolorem,Home & Kitchen,Appliances,Samsung,2037.31,4316.78,119,Active
PROD0000297,iusto soluta,Beauty,Skincare,LG,784.36,1366.21,890,Active
PROD0000298,distinctio sequi,Fashion,Women,Sony,2483.77,5836.25,312,Discontinued
PROD0000299,exercitationem ipsum,Sports,Footwear,OnePlus,2149.7,2649.23,384,Inactive
PROD0000300,quam debitis,Electronics,Tablets,Samsung,2451.5,6638.88,2611,Active
PROD0000301,minus est,Grocery,Fruits,,4304.18,8197.49,4534,Inactive
PROD0000302,maxime id,Grocery,Dairy,,759.46,8347.77,4752,Inactive
PROD0000303,officiis quaerat,Beauty,Skincare,Apple,4759.28,-500.0,147,Active
PROD0000304,culpa quibusdam,Fashion,Kids,LG,1342.07,5012.96,1959,Inactive
